"FullName","Name","CreationTime","LastWriteTime","Length","Attributes"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0.docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0.docx","12/22/2014 8:07:24 AM","12/22/2014 8:07:24 AM","69483","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0A KLD Notes.docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0A KLD Notes.docx","12/22/2014 8:05:07 AM","12/22/2014 8:05:13 AM","65675","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0B KLD_TC Notes.docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0B KLD_TC Notes.docx","3/18/2015 6:16:22 AM","2/9/2015 4:50:00 AM","76794","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0B KLD_TC Notes_Followup.docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0B KLD_TC Notes_Followup.docx","3/18/2015 6:16:23 AM","2/12/2015 4:49:02 AM","68402","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0C.docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0C.docx","3/18/2015 6:05:02 AM","3/18/2015 6:10:01 AM","68405","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\G & M Comments ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0A KLD Notes.docx","G & M Comments ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0A KLD Notes.docx","2/2/2015 10:55:51 AM","2/2/2015 10:55:00 AM","67608","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\Main Contract Section 1 - English.pdf","Main Contract Section 1 - English.pdf","5/5/2015 9:52:07 PM","5/5/2015 9:52:00 PM","413324","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\Main Contract Section 2 - English.pdf","Main Contract Section 2 - English.pdf","5/5/2015 9:51:55 PM","5/5/2015 9:51:00 PM","997627","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\Main Contract Section 3 - English.pdf","Main Contract Section 3 - English.pdf","5/5/2015 9:52:00 PM","5/5/2015 9:52:00 PM","2250038","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\Main Contract Section 4 - English.pdf","Main Contract Section 4 - English.pdf","5/5/2015 9:51:46 PM","5/5/2015 9:51:00 PM","2141990","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\Signed Contract Transmittal Letter 2015-06-03.docx","Signed Contract Transmittal Letter 2015-06-03.docx","6/2/2015 3:39:09 PM","6/2/2015 3:39:13 PM","62097","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\~$CS_Riyadh_Subcontract Agreement KLD Rev0.docx","~$CS_Riyadh_Subcontract Agreement KLD Rev0.docx","5/18/2015 5:15:25 PM","5/18/2015 5:15:25 PM","162","Hidden, Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\~$CS_Riyadh_Subcontract Agreement KLD_Draft Final (31-Mar-15).docx","~$CS_Riyadh_Subcontract Agreement KLD_Draft Final (31-Mar-15).docx","4/15/2015 4:03:36 PM","4/15/2015 4:03:36 PM","162","Hidden, Archive"
"F:\Bids and Proposals\Past_Proposals\802_ACDSS_City_Of_St.Louis\Post Award Notification\Contract","Contract","11/2/2023 1:54:50 PM","8/15/2016 10:20:22 AM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\802_ACDSS_City_Of_St.Louis\Post Award Notification\Contract\Exhibit C, Subcontractor's proposal.pdf","Exhibit C, Subcontractor's proposal.pdf","2/11/2015 4:37:19 PM","2/11/2015 4:37:20 PM","56804","Archive"
"F:\Bids and Proposals\Past_Proposals\802_ACDSS_City_Of_St.Louis\Post Award Notification\Contract\EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS KLD Comments.doc","EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS KLD Comments.doc","4/25/2015 10:49:49 PM","2/8/2015 4:17:18 PM","92672","Archive"
"F:\Bids and Proposals\Past_Proposals\802_ACDSS_City_Of_St.Louis\Post Award Notification\Contract\EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS R1.doc","EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS R1.doc","2/11/2015 4:33:51 PM","2/11/2015 4:33:51 PM","92672","Archive"
"F:\Bids and Proposals\Past_Proposals\802_ACDSS_City_Of_St.Louis\Post Award Notification\Contract\EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS SM Comments WRM.doc","EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS SM Comments WRM.doc","4/25/2015 10:49:49 PM","2/8/2015 4:09:00 PM","94720","Archive"
"F:\Bids and Proposals\Past_Proposals\802_ACDSS_City_Of_St.Louis\Post Award Notification\Contract\EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS SM Comments.doc","EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS SM Comments.doc","4/25/2015 10:49:51 PM","2/5/2015 3:26:00 PM","93184","Archive"
"F:\Bids and Proposals\Past_Proposals\802_ACDSS_City_Of_St.Louis\Post Award Notification\Contract\EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS.doc","EXHIBIT E - SUBCONTRACT GENERAL CONDITIONS.doc","4/25/2015 10:49:47 PM","2/5/2015 9:36:00 AM","91136","Archive"
"F:\Bids and Proposals\Past_Proposals\820_AKRF\NYCDOT ESA Task Order\Report of Contract Payments.pdf","Report of Contract Payments.pdf","10/20/2016 10:32:42 AM","10/20/2016 10:32:42 AM","47250","Archive"
"F:\Bids and Proposals\Past_Proposals\822_NYC City For-Hire Vehicle Transportation Industry Study\Subcontract","Subcontract","11/2/2023 1:55:06 PM","7/12/2017 1:04:59 PM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\822_NYC City For-Hire Vehicle Transportation Industry Study\FHV Study - Task Descriptions Text.docx","FHV Study - Task Descriptions Text.docx","8/8/2015 2:57:13 AM","8/8/2015 3:29:50 AM","23095","Archive"
"F:\Bids and Proposals\Past_Proposals\822_NYC City For-Hire Vehicle Transportation Industry Study\Subcontract\Intent to Perform as a Subcontractor_Updated 02-04-2015_HDR-KLD KLD Signed.pdf","Intent to Perform as a Subcontractor_Updated 02-04-2015_HDR-KLD KLD Signed.pdf","2/9/2016 11:40:57 AM","2/9/2016 11:40:57 AM","664465","Archive"
"F:\Bids and Proposals\Past_Proposals\822_NYC City For-Hire Vehicle Transportation Industry Study\Subcontract\Intent to Perform as a Subcontractor_Updated 02-04-2015_HDR-KLD.pdf","Intent to Perform as a Subcontractor_Updated 02-04-2015_HDR-KLD.pdf","2/8/2016 2:23:54 PM","2/8/2016 2:23:55 PM","358729","Archive"
"F:\Bids and Proposals\Past_Proposals\835_NYCDOT_Model Support\835.1\20161118 Subcontractor Profile Form  KLD.xlsx","20161118 Subcontractor Profile Form  KLD.xlsx","11/18/2016 6:31:13 PM","11/18/2016 6:31:13 PM","57079","Archive"
"F:\Bids and Proposals\Past_Proposals\835_NYCDOT_Model Support\835.1\Companion to Subcontractor Profile.pdf","Companion to Subcontractor Profile.pdf","11/18/2016 6:31:15 PM","11/18/2016 6:31:15 PM","1524621","Archive"
"F:\Bids and Proposals\Past_Proposals\885_BQE Triple Cantilever\Weidlinger\Modeling\archive\201601016 KLD -- Subcontractor Profile Form (rev 8 26 15).xlsx","201601016 KLD -- Subcontractor Profile Form (rev 8 26 15).xlsx","6/1/2016 2:06:54 PM","6/1/2016 2:07:01 PM","56920","Archive"
"F:\Bids and Proposals\Past_Proposals\885_BQE Triple Cantilever\Weidlinger\Modeling\archive\Subcontractor Profile Form (rev 8 26 15).xlsx","Subcontractor Profile Form (rev 8 26 15).xlsx","6/1/2016 1:55:29 PM","6/1/2016 1:55:17 PM","57334","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS Mexico City\Reports\2017Oct Smart Lights -- System Performance Evaluation Report -- Draft Rev2.pdf","2017Oct Smart Lights -- System Performance Evaluation Report -- Draft Rev2.pdf","6/9/2025 3:50:38 PM","6/2/2018 12:20:28 PM","2405103","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS Mexico City\Reports\20230331 Preliminary Evaluation of ACDSS Pilot v0.2 (Full Report).pdf","20230331 Preliminary Evaluation of ACDSS Pilot v0.2 (Full Report).pdf","6/10/2025 10:34:06 AM","9/26/2023 3:37:21 PM","47366634","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS Mexico City\Reports\Evaluation-Draft Report-Bloomingdale_20221027.pdf","Evaluation-Draft Report-Bloomingdale_20221027.pdf","6/9/2025 3:46:40 PM","10/27/2022 4:21:16 PM","7910041","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS Mexico City\Reports\Riyadh - sent to TransCore 20250610\201912_City-wide_Performance_Evaluation_v5.pdf","201912_City-wide_Performance_Evaluation_v5.pdf","6/10/2025 10:39:55 AM","12/20/2019 5:25:01 PM","1077784","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS Mexico City\Reports\Riyadh - sent to TransCore 20250610\2024-10-29 - King Khalid North ACDSS Policy Evaluation.pdf","2024-10-29 - King Khalid North ACDSS Policy Evaluation.pdf","6/10/2025 11:01:43 AM","6/10/2025 11:01:48 AM","3422920","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_AZ\20160907-TCORE-CONTRACT.pdf","20160907-TCORE-CONTRACT.pdf","2/28/2018 6:04:46 AM","2/28/2018 6:03:09 AM","11705525","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms","Subcontractor Forms","11/2/2023 1:56:55 PM","8/15/2016 10:16:57 AM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\00b  Subcontractor Approval Instructions - Sub.docx","00b  Subcontractor Approval Instructions - Sub.docx","1/4/2014 2:55:59 PM","1/4/2014 2:56:00 PM","30296","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\02B  OCIP Enrollment Assignment by Subcontractor -- kld.docx","02B  OCIP Enrollment Assignment by Subcontractor -- kld.docx","3/27/2014 3:16:08 PM","3/27/2014 3:20:15 PM","67883","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\02B. OCIP Enrollment Assignment by Subcontractor.docx","02B. OCIP Enrollment Assignment by Subcontractor.docx","1/4/2014 2:54:15 PM","1/4/2014 2:54:00 PM","23638","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\03A. NDA - Exhibit B - SubContractors - Instructions.pdf","03A. NDA - Exhibit B - SubContractors - Instructions.pdf","1/4/2014 2:54:18 PM","1/4/2014 2:54:00 PM","17366","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\03B. NDA - EXHIBIT B - SubConsultant - SubContractor -- KLD.docx","03B. NDA - EXHIBIT B - SubConsultant - SubContractor -- KLD.docx","3/27/2014 3:49:39 PM","3/27/2014 3:49:39 PM","59616","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\03B. NDA - EXHIBIT B - SubConsultant - SubContractor.docx","03B. NDA - EXHIBIT B - SubConsultant - SubContractor.docx","1/4/2014 2:54:06 PM","1/4/2014 2:54:00 PM","58686","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\For JHK\03A. NDA - Exhibit B - SubContractors - Instructions.pdf","03A. NDA - Exhibit B - SubContractors - Instructions.pdf","7/9/2014 2:03:09 PM","1/4/2014 2:54:00 PM","17366","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\For JHK\03B. NDA - EXHIBIT B - SubConsultant - SubContractor.docx","03B. NDA - EXHIBIT B - SubConsultant - SubContractor.docx","7/9/2014 2:03:09 PM","1/4/2014 2:54:00 PM","58686","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\For JHK\Insurance procured by contractor.pdf","Insurance procured by contractor.pdf","7/9/2014 2:04:49 PM","3/18/2014 2:32:00 PM","194102","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\Insurance Related\00b  Subcontractor Approval Instructions - Sub.docx","00b  Subcontractor Approval Instructions - Sub.docx","3/18/2014 2:36:19 PM","3/18/2014 2:36:00 PM","30296","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\Insurance Related\02B. OCIP Enrollment Assignment by Subcontractor.docx","02B. OCIP Enrollment Assignment by Subcontractor.docx","3/18/2014 2:36:11 PM","3/18/2014 2:36:00 PM","23638","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\Insurance Related\03A. NDA - Exhibit B - SubContractors - Instructions.pdf","03A. NDA - Exhibit B - SubContractors - Instructions.pdf","3/18/2014 2:36:17 PM","3/18/2014 2:36:00 PM","17366","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\Insurance Related\Insurance procured by contractor.pdf","Insurance procured by contractor.pdf","3/18/2014 2:36:22 PM","3/18/2014 2:32:00 PM","194102","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\To send\02B. OCIP Enrollment Assignment by Subcontractor.pdf","02B. OCIP Enrollment Assignment by Subcontractor.pdf","4/10/2014 10:40:04 AM","4/10/2014 10:40:04 AM","226923","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Bayonne_Bridge\Transdyn\Subcontractor Forms\To send\03B. NDA - EXHIBIT B - SubConsultant - SubContractor.pdf","03B. NDA - EXHIBIT B - SubConsultant - SubContractor.pdf","4/10/2014 10:42:00 AM","4/10/2014 10:42:00 AM","325074","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Calgary\2025\PO\signed contract.pdf","signed contract.pdf","12/30/2025 4:09:32 PM","12/30/2025 4:09:44 PM","271994","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_City_of_Houston\KLD -- Text Inserts Rev0 -- TransSuite Adaptive Control Module Description.docx","KLD -- Text Inserts Rev0 -- TransSuite Adaptive Control Module Description.docx","6/8/2015 9:41:00 PM","6/8/2015 9:41:06 PM","25825","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_City_of_Houston\KLD -- Text Inserts Rev1 -- TransSuite Adaptive Control Module Description.docx","KLD -- Text Inserts Rev1 -- TransSuite Adaptive Control Module Description.docx","6/10/2015 3:07:41 PM","6/10/2015 3:16:20 PM","219927","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_City_of_Houston\TransSuite Adaptive Control Module Description v1.docx","TransSuite Adaptive Control Module Description v1.docx","6/10/2015 3:06:22 PM","6/10/2015 3:03:00 PM","221242","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_City_of_Houston\TransSuite Adaptive Control Module Description.docx","TransSuite Adaptive Control Module Description.docx","6/8/2015 9:26:28 PM","6/8/2015 9:26:28 PM","25537","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\Contractual","Contractual","11/2/2023 1:58:55 PM","12/27/2022 10:00:03 AM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\2022\Denver - ACDSS Expansion Project Description_rev1.docx","Denver - ACDSS Expansion Project Description_rev1.docx","11/11/2022 3:13:00 PM","11/11/2022 3:13:00 PM","154136","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\2022\20220118 Working\Denver - ACDSS Expansion Project Description_rev1.docx","Denver - ACDSS Expansion Project Description_rev1.docx","1/18/2023 12:51:00 PM","1/18/2023 12:51:00 PM","154714","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\2022\Proposal\Phase 2 - 56th Ave Expansion\Denver - ACDSS Expansion Project Description_rev1.docx","Denver - ACDSS Expansion Project Description_rev1.docx","11/28/2022 2:12:52 PM","11/11/2022 3:13:00 PM","154136","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\2022\Proposal\Phase 2 - 56th Ave Expansion\Denver - ACDSS Expansion Project Description_rev1_KLD PB sm.docx","Denver - ACDSS Expansion Project Description_rev1_KLD PB sm.docx","1/19/2023 12:34:00 PM","1/19/2023 12:34:00 PM","157887","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\2022\Proposal\Phase 2 - 56th Ave Expansion\Denver - ACDSS Expansion Project Description_rev1_KLD.docx","Denver - ACDSS Expansion Project Description_rev1_KLD.docx","1/18/2023 3:16:43 PM","1/18/2023 8:29:42 PM","155827","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\2022\Proposal\Phase 2 - 56th Ave Expansion\Denver - ACDSS Expansion Project Description_rev2_KLD PB sm.docx","Denver - ACDSS Expansion Project Description_rev2_KLD PB sm.docx","1/19/2023 1:22:21 PM","1/19/2023 5:06:57 PM","783845","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\2022\Proposal\Phase 2 - 56th Ave Expansion\Denver - ACDSS Expansion Project Description_rev3_KLD.docx","Denver - ACDSS Expansion Project Description_rev3_KLD.docx","1/19/2023 5:59:35 PM","1/19/2023 6:02:10 PM","783060","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Denver DRCOG\Contractual\20221221_Subcontractor Approval_Transcore_Felsburg Holt & Ullevig and KLD Engineering.pdf","20221221_Subcontractor Approval_Transcore_Felsburg Holt & Ullevig and KLD Engineering.pdf","12/27/2022 10:00:00 AM","12/27/2022 10:00:00 AM","121813","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Fremont\1 - ACDSS Proposal\Sent\20210319\KLD_ACDSS_Description_of_Firm_References_v0.docx","KLD_ACDSS_Description_of_Firm_References_v0.docx","3/19/2021 12:52:04 PM","3/19/2021 6:27:24 PM","29776","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_Fremont\1 - ACDSS Proposal\Sent\20210319\KLD_ACDSS_Description_of_Services_v0.docx","KLD_ACDSS_Description_of_Services_v0.docx","3/18/2021 7:05:45 PM","3/19/2021 6:26:50 PM","7619368","Archive"
"F:\Bids and Proposals\Past_Proposals\ACDSS_SantaClara\Demo\Performance Evals\ACDSS Performance Evaluation Documents","ACDSS Performance Evaluation Documents","11/2/2023 1:59:39 PM","5/13/2022 8:56:06 AM",,"Directory"
